slot,status,in_time,out_time
1,0,2025-05-14 09:09,2025-05-14 09:09
2,0,2025-05-14 09:09,2025-05-14 09:14
3,0,2025-05-14 09:14,2025-05-14 09:16
4,1,2025-05-14 09:09,
5,1,2025-05-14 09:09,
6,0,,
